Ano Mês Início,Letra CID,Pericia (Qtde Proc. Concedida)
201506,K,78
201507,K,57
201508,K,101
201509,K,89
201510,K,75
201511,K,90
201512,K,44
201601,K,66
201602,K,69
201603,K,79
201604,K,86
201605,K,75
201606,K,66
201607,K,44
201608,K,112
201609,K,72
201610,K,66
201611,K,69
201612,K,44
201701,K,57
201702,K,59
201703,K,73
201704,K,63
201705,K,80
201706,K,67
201707,K,42
201708,K,87
201709,K,64
201710,K,76
201711,K,81
201712,K,51
201801,K,69
201802,K,49
201803,K,64
201804,K,68
201805,K,66
201806,K,66
201807,K,49
201808,K,103
201809,K,72
201810,K,78
201811,K,80
201812,K,60
201901,K,52
201902,K,68
201903,K,65
201904,K,71
201905,K,83
201906,K,57
201907,K,58
201908,K,75
201909,K,96
201910,K,80
201911,K,76
201912,K,44
202001,K,74
202002,K,58
202003,K,44
202004,K,16
202005,K,22
202006,K,19
202007,K,23
202008,K,34
202009,K,40
202010,K,39
202011,K,54
202012,K,56
202101,K,43
202102,K,29
202103,K,26
202104,K,31
202105,K,44
202106,K,52
202107,K,54
202108,K,80
202109,K,78
202110,K,79
202111,K,66
202112,K,60
202201,K,59
202202,K,63
202203,K,84
202204,K,59
202205,K,87
202206,K,79
202207,K,59
202208,K,118
202209,K,84
202210,K,78
202211,K,109
202212,K,72
202301,K,76
202302,K,89
202303,K,121
202304,K,76
202305,K,94
202306,K,90
202307,K,72
202308,K,100
202309,K,91
202310,K,109
202311,K,109
202312,K,70
202401,K,86
202402,K,80
202403,K,107
202404,K,103
202405,K,104
202406,K,111
202407,K,66
202408,K,50
202508,K,1
201106,L,1
201108,L,1
201109,L,1
201111,L,1
201203,L,1
201206,L,1
201207,L,2
201208,L,2
201209,L,1
201211,L,3
201301,L,3
201302,L,4
201305,L,2
201306,L,1
201307,L,1
201308,L,8
201309,L,7
201310,L,4
201311,L,4
201312,L,4
201401,L,3
201402,L,2
201403,L,4
201404,L,8
201405,L,15
201406,L,9
201407,L,4
201408,L,11
201409,L,8
201410,L,11
201411,L,8
201412,L,4
201501,L,3
201502,L,8
201503,L,7
201504,L,8
201505,L,9
201506,L,9
201507,L,10
201508,L,6
201509,L,8
201510,L,11
201511,L,10
201512,L,5
201601,L,3
201602,L,9
201603,L,9
201604,L,7
201605,L,5
201606,L,5
201607,L,4
201608,L,16
201609,L,6
201610,L,3
201611,L,6
201612,L,6
201701,L,7
201702,L,5
201703,L,12
201704,L,5
201705,L,7
201706,L,3
201708,L,12
201709,L,4
201710,L,8
201711,L,10
201712,L,9
201801,L,11
201802,L,5
201803,L,7
201804,L,4
201805,L,2
201806,L,10
201807,L,3
201808,L,10
201809,L,12
201810,L,14
201811,L,13
201812,L,8
201901,L,5
201902,L,6
201903,L,6
201904,L,12
201905,L,10
201906,L,7
201907,L,7
201908,L,11
201909,L,8
201910,L,15
201911,L,7
201912,L,4
202001,L,6
202002,L,6
202003,L,7
202004,L,6
202005,L,2
202006,L,2
202007,L,5
202008,L,3
202009,L,3
202010,L,5
202011,L,3
202012,L,5
202101,L,13
202102,L,8
202103,L,3
202104,L,3
202105,L,6
202106,L,3
202107,L,6
202108,L,12
202109,L,7
202110,L,12
202111,L,7
202112,L,7
202201,L,7
202202,L,11
202203,L,8
202204,L,10
202205,L,14
202206,L,11
202207,L,5
202208,L,11
202209,L,15
202210,L,14
202211,L,6
202212,L,5
202301,L,12
202302,L,12
202303,L,10
202304,L,13
202305,L,15
202306,L,6
202307,L,14
202308,L,9
202309,L,5
202310,L,14
202311,L,12
202312,L,8
202401,L,21
202402,L,15
202403,L,11
202404,L,17
202405,L,14
202406,L,15
202407,L,12
202408,L,9
202409,L,1
201101,M,1
201102,M,1
201103,M,1
201104,M,1
201105,M,5
201106,M,8
201107,M,3
201108,M,8
201109,M,8
201110,M,8
201111,M,7
201112,M,4
201201,M,7
201202,M,7
201203,M,6
201204,M,8
201205,M,13
201206,M,11
201207,M,9
201208,M,16
201209,M,8
201210,M,14
201211,M,26
201212,M,17
201301,M,24
201302,M,23
201303,M,25
201304,M,23
201305,M,17
201306,M,28
201307,M,49
201308,M,60
201309,M,55
201310,M,68
201311,M,66
201312,M,44
201401,M,70
201402,M,97
201403,M,97
201404,M,184
201405,M,251
201406,M,187
201407,M,176
201408,M,274
201409,M,278
201410,M,254
201411,M,258
201412,M,159
201501,M,197
201502,M,199
201503,M,253
201504,M,231
201505,M,243
201506,M,195
201507,M,142
201508,M,269
201509,M,251
201510,M,224
201511,M,225
201512,M,167
201601,M,184
201602,M,182
201603,M,237
201604,M,267
201605,M,243
201606,M,211
201607,M,126
201608,M,275
201609,M,241
201610,M,206
201611,M,210
201612,M,126
201701,M,164
201702,M,169
201703,M,230
201704,M,205
201705,M,224
201706,M,159
201707,M,107
201708,M,242
201709,M,206
201710,M,188
